subruns ctag meanYErr
290 1.11242e+07 0.00866949
291 1.11634e+07 0.00865427
292 1.12022e+07 0.00863932
293 1.12408e+07 0.00862458
294 1.12775e+07 0.00861052
295 1.13167e+07 0.00859572
296 1.13558e+07 0.00858096
297 1.1395e+07 0.00856617
298 1.14337e+07 0.00855165
299 1.14723e+07 0.00853715
300 1.15115e+07 0.00852272
301 1.15499e+07 0.00850865
302 1.15864e+07 0.00849543
303 1.16249e+07 0.00848136
304 1.16641e+07 0.0084672
305 1.17031e+07 0.00845302
306 1.17419e+07 0.00843907
307 1.17812e+07 0.00842496
308 1.18199e+07 0.00841114
309 1.18587e+07 0.00839751
310 1.1895e+07 0.00838466
311 1.19339e+07 0.00837095
312 1.1973e+07 0.00835714
313 1.20118e+07 0.00834375
314 1.20508e+07 0.00833022
315 1.20896e+07 0.00831687
316 1.21287e+07 0.00830349
317 1.21668e+07 0.00829041
318 1.22045e+07 0.0082776
319 1.22437e+07 0.00826432
320 1.22827e+07 0.00825124
321 1.23223e+07 0.00823793
322 1.2361e+07 0.00822506
323 1.23992e+07 0.00821226
324 1.24387e+07 0.00819925
325 1.24755e+07 0.00818729
326 1.25135e+07 0.0081749
327 1.2552e+07 0.00816236
328 1.25912e+07 0.00814957
329 1.26299e+07 0.00813712
330 1.26692e+07 0.00812451
331 1.27082e+07 0.00811211
332 1.27473e+07 0.00809966
333 1.27835e+07 0.00808814
334 1.28219e+07 0.00807601
335 1.28609e+07 0.00806368
336 1.28999e+07 0.00805155
337 1.29384e+07 0.0080395
338 1.29772e+07 0.00802771
339 1.30158e+07 0.00801577
340 1.30545e+07 0.00800388
341 1.30913e+07 0.00799265
342 1.31295e+07 0.00798101
343 1.31676e+07 0.00796954
344 1.32069e+07 0.00795767
345 1.32464e+07 0.00794579
346 1.3285e+07 0.0079342
347 1.33238e+07 0.00792262
348 1.33625e+07 0.00791116
349 1.33844e+07 0.00790459
